file,category,cat_count,classification,class_count,compliance,comp_count
02 Section - II ITB.pdf,DOCUMENTATION,2,MANDATORY,5,UNKNOWN,1
,QUALITY_STANDARDS,2,,,YES,4
,TECHNICAL_SPECS,1,,,,
04- Section - IV GCC.pdf,DOCUMENTATION,2,MANDATORY,13,UNKNOWN,6
,QUALITY_STANDARDS,6,,,YES,7
,TECHNICAL_SPECS,1,,,,
,TIMELINES,4,,,,
06-Section - VI Forms and Procedures.pdf,DOCUMENTATION,5,MANDATORY,10,UNKNOWN,2
,QUALITY_STANDARDS,5,,,YES,8
2. Bid Forms (Technical Bid and Price Bid).pdf,DOCUMENTATION,1,MANDATORY,1,YES,1
HSE Code of Conduct for Contracts.pdf,DOCUMENTATION,1,MANDATORY,7,UNKNOWN,2
,QUALITY_STANDARDS,6,,,YES,5
QA_001 QA QC Contractual Requirements.pdf,DOCUMENTATION,2,MANDATORY,7,UNKNOWN,1
,QUALITY_STANDARDS,5,,,YES,6
Scope of Work.pdf,DOCUMENTATION,2,MANDATORY,3,YES,3
,QUALITY_STANDARDS,1,,,,
Technical Specification for Substation - Civil Works.pdf,QUALITY_STANDARDS,2,MANDATORY,3,UNKNOWN,1
,TECHNICAL_SPECS,1,,,YES,2
Technical Specification for Substation - Electrical Works.pdf,DOCUMENTATION,1,MANDATORY,6,UNKNOWN,2
,QUALITY_STANDARDS,4,OPTIONAL,1,YES,5
,TECHNICAL_SPECS,2,,,,
docs\Volume-II\Drawings\Indicative Drawings - Civil Works.pdf,DOCUMENTATION,1,MANDATORY,2,UNKNOWN,2
,QUALITY_STANDARDS,1,,,,
